Abbrev,Phase,R.dov,Total_FW,Sqrt_Perc_Uncleared_levels,Total_deterrence,Stalls_opened,Uncleared_crockery,Active_cleaners,Feeding_incidences,Weather,Total_length,Total_openness,Sqrt_Perc_HDB,Sqrt_Perc_PNB,Distance_to_MRT,Distance_to_bridge,Distance_to_drain
jbm,before,11,0,0,1,3.75,0.5,0.5,0,1,395.55,216.77,4.455199596,0,1142.41733,250.9616425,110.6622458
bmv,before,124,14.25,6.208193511,3,49.5,51.25,5.5,0,1,3489.81,1073.32,3.635171934,0,394.673835,693.0047261,39.78817164
tpl1,before,93,11.75,3.16227766,6,21,7.5,2,0,1,82.3,226.01,3.626980075,0,1587.726854,666.7094729,138.9000716
mcr,before,6,0,3.632415786,3,20.25,11.75,1.5,0,1,1364.65,287.61,2.815854048,0,393.3903982,538.3611582,144.9280737
gmr,before,13,0,6.123724357,1,38.75,17.25,4.5,0,1,2444.16,662.78,2.949075271,0.474627317,392.21315,301.5207154,271.5806641
amk,before,16,6.5,3.435921355,2,25.25,16.25,2.75,0,1,631.64,398.16,4.099410989,0,232.1482162,594.4265847,62.02468181
mpc,before,21,6,0,5,43.5,13.75,3.75,0,1,656.06,367.51,3.92294755,2.204869749,1960.833958,404.002064,92.66067964
abc,before,81,15.75,5.951190357,2,61.5,31,7.5,0.25,1,1126.5,730.83,3.100784105,3.591166752,505.0156184,728.3059205,105.5206801
ac,before,61,14.75,6.157651067,2,66.5,88.75,5.25,0,1,1234.68,320,3.210955416,0,1828.318677,222.8636683,47.47504364
av,before,35,2.75,5.692750426,6,51.5,7.5,5.5,0,1,3269.04,451.76,3.100189421,0,745.7722823,333.0273731,100.4715955
as,before,32,53.25,6.080557547,3,79.5,47.5,16.5,0,l.,875.16,520.29,1.066278387,2.604638057,3101.184433,741.5086688,43.87540717
bi,before,0,16.25,7.331439149,1,56.5,41.75,9.25,0,1,1243.18,1436.49,3.101113096,1.989410995,66.96141033,1081.626423,30.93422467
bm,before,103,14.25,3.668996929,2,57,39.75,5.75,0,1,1048.36,1129.63,1.914817391,1.746127797,1126.722877,221.6911064,133.8322264
bc,before,30,2.25,5,6,17.25,15.5,2.75,0,1,160.32,167.88,4.796690105,0,777.2782432,413.1460165,97.44372907
ber,before,8,4,3.461093276,4,39.5,6.5,5.75,0,0,1060.34,24.14,2.120350449,0,1261.669415,301.5652296,39.4737496
bed,before,53,16,3.314339826,4,22.25,21.25,5,0,1,1487.32,2008.97,4.372983658,0,344.2063971,794.1770835,67.80387571
bmc,before,67,1,4.609772229,2,38,18.5,4.5,0,1,1095.62,1094.67,4.330263023,0,606.5489423,307.6162435,210.6388825
cs,before,85,0.5,3.100868365,4,25.75,5.5,3.75,0,1,1618.92,552.62,5.018780147,0,612.1202621,565.3286473,70.27186529
ccfc,before,9,10.75,2.951630263,4,145.5,25,5,0,1,3920.36,20.48,4.52139461,0.728078953,2620.848723,571.1934462,74.22540741
cr,before,144,8.25,3.176117016,4,54.5,15,4.5,0,1,2234.97,1168.15,3.237068282,1.196796588,1009.392492,22.13446898,61.15648146
cle,before,99,1.25,5.986094999,3,38.25,39.25,3.75,0,1,520.2,273.99,4.373193744,0.573405112,136.9394245,409.3973086,118.1424594
ccmf,before,12,0.5,2.041241452,4,17.75,6.5,3.5,0,1,177.64,53.67,4.124256248,1.439870513,522.6318563,337.166702,19.64141422
ec,before,172,10.25,5.188745217,6,26.25,18.5,5.5,0,1,210.74,547.32,3.21296928,0,32.72207391,576.6584213,73.67452538
gb,before,21,16.25,5.158769546,2,55.5,29.5,5.5,0,1,844.56,616.06,4.626155569,0,1006.720224,376.1266601,290.7004108
gm,before,53,43.25,4.947642536,2,72.25,29.25,17,0,1,1148.68,502.79,1.797242501,2.580148521,868.167521,272.5486637,84.62256393
hd,before,43,0.25,5.448623679,4,19.75,7.5,2.75,0,1,943.61,224.6,3.582546328,1.838171095,140.7658245,137.6009378,133.3930613
hv,before,0,1.5,5.400617249,3,20,5,2,0,1,302.28,288.06,0.908012262,2.812199288,523.6834025,491.5229301,14.06652305
hl,before,11,8.75,5,1,65.5,43.75,4.25,0,1,1745.9,342.91,3.457749108,3.524587655,2853.310457,338.2293398,108.87074
jk,before,40,10.25,2.041241452,2,10.75,4.5,1.25,0,1,220.69,390.01,2.488498851,1.086678057,2171.216138,97.93358837,35.23309137
jwm,before,44,5.25,3.535533906,1,39.25,19.25,5,0,1,1625.53,576.35,4.742834913,0,664.7685604,628.8582695,66.9291875
jwhc,before,6,0,1.767766953,0,8.5,0.75,1.25,0,1,2217.41,225.07,4.767229719,0,393.6687398,408.4801589,42.59572451
kkp,before,148,14.25,5.217491947,1,33.75,15,3.75,1.25,1,1612.73,595.69,3.311807274,0,2027.693713,547.8057477,166.3430425
km,before,62,29,4.003203845,7,44.25,26.25,7.25,0,1,406.65,359.39,3.635536619,1.793523547,3677.323032,1082.215591,187.1880395
tpl8,before,10,30.5,4.906533815,3,42,17.5,5,0.5,1,1458.44,365.73,3.564916835,1.467070844,1435.945491,217.6893878,87.83062917
ml,before,55,6.5,1.846372365,2,17.5,5.25,2.75,0.5,1,1223.41,579.91,3.234373211,0,1115.606643,787.503964,86.43517091
mm,before,53,10.75,2.5,1,18.5,1.75,2.75,0,1,448,357.35,3.626951223,1.612044998,1041.54984,865.1674788,80.45078831
new,before,53,14.25,3.726779962,2,32.75,4,6.5,0,1,379.09,783.06,0,0,3169.482569,52.89857777,45.23983136
oth,before,6,3.75,5.330017909,2,40.5,5.5,6,0,1,3668.51,624.11,1.884183105,2.675796168,491.3845563,903.8730375,92.56627928
pk,before,205,13.25,3.872983346,2,23,8,3.25,0,1,1215.04,565.12,3.016524042,1.962384061,2090.295095,222.2289353,109.015937
red,before,118,4,4.894725052,3,48,26.25,5,0,1,1368.77,291.29,4.267317205,0,180.3544846,556.351256,24.73766135
sh,before,0,1.25,1.5430335,2,20.75,2,2.5,0,1,147.91,353.65,0,3.675317333,2028.24656,554.415752,31.62435636
sg,before,0,2.75,4.885042105,2,24.5,10,2.75,0,1,1238.7,310.71,0,1.100354843,1485.339968,693.7815833,53.63197763
sm,before,27,14.75,2.5,2,15.75,5.5,2,0,1,156.58,225.94,2.524329939,0,1248.958685,698.7101529,82.9578913
sv,before,159,14.5,5.482656638,4,23.5,32.75,7.25,0.25,1,673.23,625.13,1.807236052,0,160.0310157,305.7258547,48.13209608
th,before,106,5.75,7.359800722,5,21,32.5,2.5,0,1,180.92,503.53,5.213040849,0.133577171,257.8150826,314.5057337,153.749981
tpp,before,53,3.75,4.629100499,6,35.5,6.75,4.25,0,1,4806.84,35.84,4.247083571,2.76329812,2864.979724,416.9195658,52.0065932
tgc,before,20,7.25,2.763853992,3,13.5,12.25,2.5,0,1,275.94,330.87,4.230089618,4.574876235,496.572372,611.2567029,120.4684936
tek,before,397,57,6.871842709,6,77.25,41.5,9.5,0.25,1,1629.68,445.13,3.662424961,2.261072202,1977.866566,139.6343545,44.58733056
tbc,before,48,4.5,3.535533906,3,18.25,17.75,4,0,1,1489.04,446.9,2.986452576,4.438900714,1246.234777,283.4519197,157.3342434
tbr,before,170,0.75,2.165063509,4,7,3,1.25,0,1,326.41,236,3.355620651,6.236009892,1809.172029,670.3017604,15.93991275
tm,before,53,6,4.330127019,3,19.25,14,4,0,1,193.28,485.9,4.192102588,2.304453403,133.8949724,164.4490081,140.5113475
tb,before,64,1.25,5.270462767,1,36,3.5,6.5,0,1,1174.62,433.03,3.06505137,0,1449.122585,780.332785,88.8560098
tpl4,before,16,6,2.041241452,2,7,3.75,1.5,0,1,567.44,246.7,3.516339474,1.642925251,1468.953081,576.4345979,147.1619093
ubk,before,67,14,2.537596095,1,59,18.5,4.25,0,0,1551.81,449.26,4.110234574,0.421689728,310.4943829,286.2516368,107.0876691
wd,before,49,15.5,4.90990253,2,13.5,4.75,2.5,0,1,611.74,1026.12,4.232670998,0,2038.549039,202.3671788,52.32074944
zr,before,0,0,4.225771274,1,17.75,0.75,4.75,0,1,651.39,135.76,0.479127022,0.103556072,1256.682484,63.23365085,33.16659287
jbm,cb,3,0,0,3,4.5,0,0,0,1,395.55,216.77,4.455199596,0,1142.41733,250.9616425,110.6622458
bmv,cb,23,6.5,2.886751346,6,29,2.5,0,0,1,3489.81,1073.32,3.635171934,0,394.673835,693.0047261,39.78817164
tpl1,cb,90,0,0,6,4,0,0,0,1,82.3,226.01,3.626980075,0,1587.726854,666.7094729,138.9000716
mcr,cb,0,0,0,3,11.5,0,0,0,1,1364.65,287.61,2.815854048,0,393.3903982,538.3611582,144.9280737
gmr,cb,15,3,1.290994449,2,22.5,0,0,0,1,2444.16,662.78,2.949075271,0.474627317,392.21315,301.5207154,271.5806641
amk,cb,10,1.5,1.666666667,5,13,0,0,0,1,631.64,398.16,4.099410989,0,232.1482162,594.4265847,62.02468181
mpc,cb,13,5.5,2.581988897,2,21,0,0.5,0,1,656.06,367.51,3.92294755,2.204869749,1960.833958,404.002064,92.66067964
abc,cb,0,0,0,2,0,0,0,0,0,1126.5,730.83,3.100784105,3.591166752,505.0156184,728.3059205,105.5206801
ac,cb,79,8.5,1.924500897,2,19,0.5,0,0,1,1234.68,320,3.210955416,0,1828.318677,222.8636683,47.47504364
av,cb,0,4.5,0,2,30,0.5,0,0,1,3269.04,451.76,3.100189421,0,745.7722823,333.0273731,100.4715955
as,cb,0,0,2.062842493,1,24.5,0,0,0,1,875.16,520.29,1.066278387,2.604638057,3101.184433,741.5086688,43.87540717
bi,cb,0,8.5,0,6,28,0,0,0,1,1243.18,1436.49,3.101113096,1.989410995,66.96141033,1081.626423,30.93422467
bm,cb,25,14,0,2,17,0,0,0,1,1048.36,1129.63,1.914817391,1.746127797,1126.722877,221.6911064,133.8322264
bc,cb,8,0,0,5,11.5,0,0,0,1,160.32,167.88,4.796690105,0,777.2782432,413.1460165,97.44372907
ber,cb,28,5,0,4,12,0.5,2,0.5,1,1060.34,24.14,2.120350449,0,1261.669415,301.5652296,39.4737496
bed,cb,34,20,3.988620176,4,9.5,0,0.5,0,1,1487.32,2008.97,4.372983658,0,344.2063971,794.1770835,67.80387571
bmc,cb,13,0,0,4,16,0,0,0,1,1095.62,1094.67,4.330263023,0,606.5489423,307.6162435,210.6388825
cs,cb,20,0.5,3.668996929,3,12,0,0,0,1,1618.92,552.62,5.018780147,0,612.1202621,565.3286473,70.27186529
ccfc,cb,16,0,0,3,47,0,0,0,1,3920.36,20.48,4.52139461,0.728078953,2620.848723,571.1934462,74.22540741
cr,cb,61,31,3.333333333,5,23,1,0,0,1,2234.97,1168.15,3.237068282,1.196796588,1009.392492,22.13446898,61.15648146
cle,cb,30,4.5,6.123724357,6,22.5,0,0,0,1,520.2,273.99,4.373193744,0.573405112,136.9394245,409.3973086,118.1424594
ccmf,cb,14,0,0,6,8,0,1.5,0,1,177.64,53.67,4.124256248,1.439870513,522.6318563,337.166702,19.64141422
ec,cb,76,21.5,7.510676162,7,12.5,0,0,0,1,210.74,547.32,3.21296928,0,32.72207391,576.6584213,73.67452538
gb,cb,20,4,0,1,24.5,0,0,0,1,844.56,616.06,4.626155569,0,1006.720224,376.1266601,290.7004108
gm,cb,3,9.5,1.443375673,2,38.5,1,3,0,1,1148.68,502.79,1.797242501,2.580148521,868.167521,272.5486637,84.62256393
hd,cb,0,1,1.507556723,5,13,0,0,0,1,943.61,224.6,3.582546328,1.838171095,140.7658245,137.6009378,133.3930613
