point_label,latitude,longitude,point_label_validation,park_abbrev,validation
AP1,1.444088,103.781455,AP1,AP,1
AP2,1.444122,103.783416,AP2,AP,1
AP3,1.445608,103.779744,AP3,AP,1
AP4,1.447885,103.778116,AP4,AP,1
BAMK1,1.364507,103.835372,BAMK1,BAMK,1
BAMK11,1.361119,103.849597,BAMK11,BAMK,1
BAMK12,1.358753,103.849774,BAMK12,BAMK,1
BAMK2,1.364556,103.837204,BAMK2,BAMK,1
BAMK3,1.364519,103.838966,BAMK3,BAMK,1
BAMK4,1.364349,103.840586,BAMK4,BAMK,1
BAMK5,1.366398,103.833781,BAMK5,BAMK,1
BAMK6,1.362667,103.844587,BAMK6,BAMK,1
BAMK8,1.362745,103.848085,BAMK8,BAMK,1
BAMK9,1.361083,103.846271,BAMK9,BAMK,1
BBNP1,1.348116,103.761591,BBNP1,BBNP,1
BBNP3,1.348283,103.765399,BBNP3,BBNP,1
BBNP4,1.349167,103.763563,BBNP4,BBNP,1
BBNP5,1.350039,103.765002,BBNP5,BBNP,1
BBNP6,1.350311,103.767442,BBNP6,BBNP,1
BRP1,1.338729,103.919907,BRP1,BRP,1
BRP10,1.346453,103.923902,BRP10,BRP,1
BRP11,1.346276,103.921572,BRP11,BRP,1
BRP2,1.341352,103.919892,BRP2,BRP,1
BRP3,1.338876,103.921823,BRP3,BRP,1
BRP4,1.339244,103.923503,BRP4,BRP,1
BRP5,1.339252,103.926754,BRP5,BRP,1
BRP6,1.339301,103.928623,BRP6,BRP,1
BRP7,1.339464,103.934379,BRP7,BRP,1
BRP8,1.342739,103.930491,BRP8,BRP,1
BRP9,1.346203,103.927218,BRP9,BRP,1
CBP2,1.391581,103.989765,CBP2,CBP,1
CBP3,1.389823,103.996285,CBP3,CBP,1
CBP4,1.379815,104.002714,CBP4,CBP,1
CBP5,1.376964,104.004301,CBP5,CBP,1
CBP6,1.375131,104.004476,CBP6,CBP,1
CBP7,1.373737,104.006343,CBP7,CBP,1
CCK1,1.297877,103.769214,CCK1,CCK,1
CCK2,1.299329,103.767208,CCK2,CCK,1
CCK3,1.301076,103.767082,CCK3,CCK,1
CG1,1.387447,103.747408,CG1,CG,1
CG3,1.38483,103.74728,CG3,CG,1
CI1,1.417033,103.916491,CI1,CI,1
CI10,1.40632,103.927349,CI10,CI1,1
CI11,1.404342,103.928687,CI11,CI1,1
CI12,1.402532,103.930847,CI12,CI1,1
CI13,1.4112,103.917444,CI13,CI1,1
CI15,1.408757,103.918522,CI15,CI1,1
